All Traffic Lights Green	GREENLIGHT
Amphibious Cars	SEAWAYS
Big Wheels	LOADSOFLITTLETHINGS
Black Cars	IWANTITPAINTEDBLACK
Candy Suxxx Skin	IWANTBIGTITS
Dick Skin	WELOVEOURDICK
Flying Boats	AIRSHIP
Flying Vehicles	COMEFLYWITHME
Handling Buff	GRIPISEVERYTHING
Hilary Skin	ILOOKLIKEHILARY
Hostile Pedestrians	NOBODYLIKESME
Invisible Cars	WHEELSAREALLINEED
Jezz Skin	ROCKANDROLLMAN
Ken Skin	MYSONISALAWYER
Lance Skin	LOOKLIKELANCE
Mercedes Skin	FOXYLITTLETHING
Nearby Vehicles Explode	BIGBANG
Phil Skin	ONEARMEDBANDIT
Pink Cars	AHAIRDRESSERSCAR
Random Outfit	STILLLIKEDRESSINGUP
Ricardo Skin	CHEATSHAVEBEENCRACKED
Riot	FIGHTFIGHTFIGHT
Road Rage	MIAMITRAFFIC
Sonny Skin	IDONTHAVETHEMONEYSONNY
Spawn Alt Bloodring Banger	GETTHEREQUICKLY
Spawn Alt Hotring Racer	GETTHEREAMAZINGLYFAST
Spawn Caddie	BETTERTHANWALKING
Spawn Hearse	THELASTRIDE
Spawn Hotring Racer	GETTHEREVERYFASTINDEED
Spawn Limo	ROCKANDROLLCAR
Spawn Sabre Turbo	GETTHEREFAST
Spawn Trashmaster	RUBBISHCAR
